,Mass (GeV),Background,Data,mass_zprime_eta0p01_1000_data,mass_zprime_eta0p01_1200_data,mass_zprime_eta0p01_1400_data,mass_zprime_eta0p01_1600_data,mass_zprime_eta0p01_1800_data,mass_zprime_eta0p01_2000_data,mass_zprime_eta0p01_2200_data,mass_zprime_eta0p01_2400_data,mass_zprime_eta0p01_2600_data,mass_zprime_eta0p01_2800_data,mass_zprime_eta0p01_3000_data,mass_zprime_eta0p01_3200_data,mass_zprime_eta0p01_3400_data,mass_zprime_eta0p01_3600_data,mass_zprime_eta0p01_3800_data,mass_zprime_eta0p01_4000_data,mass_zprime_eta0p01_800_data,mass_zprime_eta0p03_1000_data,mass_zprime_eta0p03_1200_data,mass_zprime_eta0p03_1400_data,mass_zprime_eta0p03_1600_data,mass_zprime_eta0p03_1800_data,mass_zprime_eta0p03_2000_data,mass_zprime_eta0p03_2200_data,mass_zprime_eta0p03_2400_data,mass_zprime_eta0p03_2600_data,mass_zprime_eta0p03_2800_data,mass_zprime_eta0p03_3000_data,mass_zprime_eta0p03_3200_data,mass_zprime_eta0p03_3400_data,mass_zprime_eta0p03_3600_data,mass_zprime_eta0p03_3800_data,mass_zprime_eta0p03_4000_data,mass_zprime_eta0p03_800_data
0,194.8514,29997.362,29997.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028806088319832765,0.3085565250767656,0.0,0.0,0.018036831107814046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,202.4237,26862.889,26862.889,0.0,0.007819679144385026,0.003880283052351375,0.001997842131228416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028806088319832765,0.0,0.0,0.03454528077212334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,210.0232,24323.1022,24323.1022,0.0,0.0,0.0,0.001997842131228416,0.0,0.0006274623929532665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028806088319832765,0.1542782625383828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003588168566493955,0.0,0.0,4.7588403975779734e-05,0.0
3,218.4626,21781.631,21781.631,0.0,0.0,0.0,0.001997842131228416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542782625383828,0.0,0.0,0.0,0.009972979488446805,0.0,0.0,0.0,0.0,0.0,0.0,0.00028036500802568215,0.0,0.0,0.0,4.7588403975779734e-05,0.0
4,227.2412,19941.5347,19941.5347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021633983263598326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028806088319832765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38084683981576245
5,236.0721,17467.5293,17467.5293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.039723228995057e-05,0.0,0.0,0.0,0.0,0.0,0.05761217663966553,0.1542782625383828,0.0,0.0,0.018036831107814046,0.009972979488446805,0.0,0.0,0.0,0.0,0.0,0.0,0.00028036500802568215,0.0,0.00011461042670337233,0.0,4.7588403975779734e-05,0.0
6,245.2465,15991.8195,15991.8195,0.0,0.0,0.003880283052351375,0.0,0.0,0.0,0.0,0.00021633983263598326,0.0,8.013571462043111e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0864182649594983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011461042670337233,0.0,4.7588403975779734e-05,1.1425405194472873
7,254.7771,14163.4535,14163.4535,0.017232424437299033,0.0,0.003880283052351375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99184688441047e-05,0.0,0.0,0.0,0.028806088319832765,0.1542782625383828,0.07069396752333461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009175616279069765,0.0,0.0,0.0,0.0001469257752424415,0.0,0.0
8,264.3422,12966.8289,12966.8289,0.017232424437299033,0.0,0.0,0.0,0.0,0.0,0.0,0.00021633983263598326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542782625383828,0.0,0.03454528077212334,0.0,0.009972979488446805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003588168566493955,0.00022922085340674466,0.0,0.0,0.7616936796315249
9,274.9642,11484.3611,11484.3611,0.0,0.007819679144385026,0.00776056610470275,0.001997842131228416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05761217663966553,0.1542782625383828,0.0,0.0,0.0,0.0,0.005652326605504587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000343831280110117,0.0,0.0,0.7616936796315249
10,285.2869,10059.5363,10059.5363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021633983263598326,0.0002575388111888112,0.0,0.0,0.0,1.995923442205235e-05,0.0,0.0,5.251547984425103e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.517680795155947e-05,0.38084683981576245
11,296.7507,9108.519,9108.519,0.017232424437299033,0.0,0.003880283052351375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.995923442205235e-05,0.0,0.0,5.251547984425103e-06,0.11522435327933106,0.1542782625383828,0.07069396752333461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011461042670337233,7.346288762122076e-05,0.0,0.0
12,308.2828,7978.4894,7978.4894,0.017232424437299033,0.007819679144385026,0.0,0.001997842131228416,0.001119174809541651,0.0,0.0003695086173081638,0.0,0.0,0.0,0.0,0.0,0.0,1.2641645671094825e-05,0.0,0.0,0.028806088319832765,0.1542782625383828,0.07069396752333461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028036500802568215,0.0,0.0,0.0,0.0,0.38084683981576245
13,320.2634,7304.4425,7304.4425,0.017232424437299033,0.015639358288770052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.013571462043111e-05,0.0,0.0,0.0,0.0,1.6007072692437733e-05,0.0,0.05761217663966553,0.3085565250767656,0.07069396752333461,0.0,0.0,0.0,0.0,0.0,0.003912771647877188,0.0,0.0,0.0,0.0,0.00017940842832469775,0.00011461042670337233,0.0,9.517680795155947e-05,1.1425405194472873
14,333.1325,6469.3423,6469.3423,0.017232424437299033,0.023459037433155076,0.0,0.0,0.001119174809541651,0.0,0.0,0.0,0.0002575388111888112,0.0,0.0,3.1250126991456936e-05,0.0,0.0,0.0,0.0,0.0,0.1542782625383828,0.0,0.0,0.0,0.009972979488446805,0.0,0.0032857434377646056,0.001956385823938594,0.0,0.0,0.00045878081395348826,0.0,0.0,0.0,7.346288762122076e-05,0.0,0.7616936796315249
15,345.639,5729.6703,5729.6703,0.0,0.007819679144385026,0.003880283052351375,0.0,0.0,0.0,0.0,0.0,0.0002575388111888112,8.013571462043111e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0864182649594983,0.3085565250767656,0.07069396752333461,0.06909056154424668,0.018036831107814046,0.009972979488446805,0.0,0.0032857434377646056,0.0,0.0,0.0,0.0,0.00028036500802568215,0.0,0.0,0.0,0.0,1.1425405194472873
16,359.5276,5074.6101,5074.6101,0.0,0.0,0.0,0.001997842131228416,0.001119174809541651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2641645671094825e-05,0.0,0.0,0.0,0.1542782625383828,0.07069396752333461,0.0,0.0,0.009972979488446805,0.0,0.0032857434377646056,0.003912771647877188,0.0,0.0007236181263923086,0.0,0.0,0.0,0.00011461042670337233,0.0001469257752424415,4.7588403975779734e-05,1.5233873592630498
17,373.4996,4544.3559,4544.3559,0.017232424437299033,0.007819679144385026,0.0,0.0,0.001119174809541651,0.0006274623929532665,0.0,0.0,0.0,8.013571462043111e-05,0.0,0.0,0.0,1.2641645671094825e-05,0.0,0.0,0.11522435327933106,0.1542782625383828,0.14138793504666922,0.03454528077212334,0.03607366221562809,0.0,0.0,0.0,0.0,0.0,0.0007236181263923086,0.0,0.0005607300160513643,0.0,0.0,7.346288762122076e-05,4.7588403975779734e-05,0.7616936796315249
18,388.0144,4024.7936,4024.7936,0.03446484887459807,0.0,0.003880283052351375,0.0,0.0,0.0,0.0007390172346163276,0.0,0.0,0.0,0.0,0.0,0.0,2.528329134218965e-05,0.0,0.0,0.11522435327933106,0.0,0.07069396752333461,0.06909056154424668,0.0,0.01994595897689361,0.005652326605504587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011461042670337233,7.346288762122076e-05,9.517680795155947e-05,0.38084683981576245
19,403.6059,3564.6482,3564.6482,0.017232424437299033,0.0,0.003880283052351375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.003536346218867e-06,0.0,0.11522435327933106,0.0,0.0,0.0,0.0,0.0,0.011304653211009173,0.0,0.003912771647877188,0.0,0.0007236181263923086,0.0,0.00028036500802568215,0.0,0.0,7.346288762122076e-05,0.0,1.9042341990788123
20,419.2904,3088.099,3088.099,0.03446484887459807,0.0,0.011640849157054125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.039723228995057e-05,0.0,0.0,0.0,0.0,0.0,0.11522435327933106,0.1542782625383828,0.14138793504666922,0.0,0.0,0.0,0.011304653211009173,0.009857230313293816,0.001956385823938594,0.0,0.0,0.0,0.00028036500802568215,0.0003588168566493955,0.0,0.0,4.7588403975779734e-05,1.5233873592630498
21,435.5844,2675.2584,2675.2584,0.0516972733118971,0.015639358288770052,0.011640849157054125,0.0,0.001119174809541651,0.0,0.0003695086173081638,0.00021633983263598326,0.0,0.0,5.039723228995057e-05,3.1250126991456936e-05,0.0,0.0,0.0,0.0,0.11522435327933106,0.4628347876151484,0.28277587009333843,0.03454528077212334,0.0,0.01994595897689361,0.0,0.0,0.001956385823938594,0.0,0.0007236181263923086,0.00045878081395348826,0.0,0.0,0.00011461042670337233,0.0,4.7588403975779734e-05,0.7616936796315249
22,452.5118,2369.3925,2369.3925,0.0,0.015639358288770052,0.0,0.001997842131228416,0.0,0.0006274623929532665,0.0003695086173081638,0.0,0.0,0.0,5.039723228995057e-05,3.1250126991456936e-05,0.0,0.0,8.003536346218867e-06,0.0,0.20164261823882934,0.0,0.14138793504666922,0.0,0.0,0.009972979488446805,0.0,0.0,0.001956385823938594,0.0,0.0,0.0009175616279069765,0.00028036500802568215,0.00017940842832469775,0.00011461042670337233,0.0001469257752424415,4.7588403975779734e-05,0.7616936796315249
23,470.0963,1963.894,1963.894,0.0516972733118971,0.023459037433155076,0.003880283052351375,0.0,0.001119174809541651,0.0,0.0,0.0,0.0002575388111888112,8.013571462043111e-05,0.0,3.1250126991456936e-05,0.0,1.2641645671094825e-05,8.003536346218867e-06,0.0,0.1728365299189966,0.3085565250767656,0.14138793504666922,0.20727168463274004,0.03607366221562809,0.0,0.0,0.0,0.0,0.0023615833135814178,0.0007236181263923086,0.0,0.00028036500802568215,0.00017940842832469775,0.0,7.346288762122076e-05,4.7588403975779734e-05,1.9042341990788123
24,488.9865,1797.9857,1797.9857,0.017232424437299033,0.015639358288770052,0.003880283052351375,0.001997842131228416,0.001119174809541651,0.001254924785906533,0.0,0.0004326796652719665,0.0,0.0,0.0,3.1250126991456936e-05,0.0,1.2641645671094825e-05,0.0,0.0,0.1728365299189966,0.4628347876151484,0.07069396752333461,0.06909056154424668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045878081395348826,0.0,0.00017940842832469775,0.00022922085340674466,0.0,0.0,1.1425405194472873
25,507.9893,1592.4196,1592.4196,0.03446484887459807,0.007819679144385026,0.0,0.001997842131228416,0.001119174809541651,0.0,0.0003695086173081638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0503095968850206e-05,0.1728365299189966,0.3085565250767656,0.07069396752333461,0.03454528077212334,0.03607366221562809,0.009972979488446805,0.0,0.0032857434377646056,0.001956385823938594,0.0,0.0014472362527846172,0.0,0.0,0.0,0.0,0.0,4.7588403975779734e-05,2.2850810388945746
26,527.0596,1349.3776,1349.3776,0.017232424437299033,0.007819679144385026,0.011640849157054125,0.001997842131228416,0.0,0.0006274623929532665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2641645671094825e-05,0.0,5.251547984425103e-06,0.20164261823882934,0.9256695752302968,0.07069396752333461,0.10363584231637002,0.05411049332344214,0.01994595897689361,0.0,0.006571486875529211,0.003912771647877188,0.0,0.0014472362527846172,0.0,0.0,0.0003588168566493955,0.00011461042670337233,0.0,9.517680795155947e-05,3.0467747185260996
27,547.5426,1249.1031,1249.1031,0.0516972733118971,0.015639358288770052,0.003880283052351375,0.0,0.001119174809541651,0.0,0.0003695086173081638,0.00021633983263598326,0.0002575388111888112,0.0,0.0,0.0,1.995923442205235e-05,0.0,8.003536346218867e-06,0.0,0.2880608831983277,0.1542782625383828,0.2120819025700038,0.10363584231637002,0.03607366221562809,0.01994595897689361,0.022609306422018347,0.0032857434377646056,0.003912771647877188,0.0023615833135814178,0.0,0.0009175616279069765,0.0005607300160513643,0.0,0.00011461042670337233,0.00022038866286366225,4.7588403975779734e-05,2.2850810388945746
28,569.5436,1058.4683,1058.4683,0.1033945466237942,0.015639358288770052,0.0,0.0059935263936852475,0.0,0.0006274623929532665,0.0,0.00021633983263598326,0.0,8.013571462043111e-05,0.0,3.1250126991456936e-05,0.0,2.528329134218965e-05,0.0,0.0,0.20164261823882934,0.6171130501535312,0.0,0.17272640386061672,0.03607366221562809,0.01994595897689361,0.011304653211009173,0.0032857434377646056,0.0,0.0023615833135814178,0.0,0.0,0.00028036500802568215,0.0005382252849740932,0.0,7.346288762122076e-05,0.0,4.570162077789149
29,592.4293,927.1554,927.1554,0.017232424437299033,0.031278716577540104,0.00776056610470275,0.0,0.0,0.001254924785906533,0.0014780344692326552,0.0004326796652719665,0.0,8.013571462043111e-05,0.0,0.0,1.995923442205235e-05,2.528329134218965e-05,0.0,0.0,0.5185095897569898,0.7713913126919141,0.35346983761667305,0.0,0.018036831107814046,0.01994595897689361,0.011304653211009173,0.0032857434377646056,0.0,0.0,0.0007236181263923086,0.0009175616279069765,0.0,0.00017940842832469775,0.00011461042670337233,7.346288762122076e-05,0.0,5.331855757420675
30,614.6698,794.3774,794.3774,0.08616212218649516,0.031278716577540104,0.00776056610470275,0.001997842131228416,0.002238349619083302,0.0006274623929532665,0.0,0.00021633983263598326,0.0002575388111888112,0.0,0.00010079446457990114,0.0,3.99184688441047e-05,0.0,0.0,0.0,0.4032852364776587,0.1542782625383828,0.2120819025700038,0.06909056154424668,0.03607366221562809,0.01994595897689361,0.011304653211009173,0.0,0.0,0.0,0.0,0.00045878081395348826,0.0005607300160513643,0.0,0.00011461042670337233,0.0,9.517680795155947e-05,4.951008917604912
31,639.3685,688.1819,688.1819,0.0516972733118971,0.031278716577540104,0.003880283052351375,0.003995684262456832,0.003357524428624953,0.0006274623929532665,0.0,0.0004326796652719665,0.0,8.013571462043111e-05,5.039723228995057e-05,3.1250126991456936e-05,0.0,1.2641645671094825e-05,8.003536346218867e-06,0.0,0.7489582963156519,0.6171130501535312,0.4241638051400076,0.17272640386061672,0.03607366221562809,0.0,0.005652326605504587,0.0032857434377646056,0.001956385823938594,0.0,0.0007236181263923086,0.0009175616279069765,0.0011214600321027286,0.00017940842832469775,0.00011461042670337233,7.346288762122076e-05,0.0001427652119273392,6.093549437052199
32,663.3698,551.8072,551.8072,0.08616212218649516,0.0,0.011640849157054125,0.001997842131228416,0.0,0.0006274623929532665,0.0003695086173081638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7489582963156519,0.7713913126919141,0.35346983761667305,0.03454528077212334,0.018036831107814046,0.0,0.005652326605504587,0.009857230313293816,0.001956385823938594,0.0,0.0,0.0009175616279069765,0.0,0.0,0.0004584417068134893,7.346288762122076e-05,0.0,4.570162077789149
33,689.1498,499.6379,499.6379,0.08616212218649516,0.03909839572192513,0.00776056610470275,0.0059935263936852475,0.001119174809541651,0.0,0.0011085258519244914,0.0,0.0,8.013571462043111e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.238661797752809,1.3885043628454452,0.35346983761667305,0.06909056154424668,0.0,0.009972979488446805,0.0,0.0,0.00978192911969297,0.0,0.0007236181263923086,0.00045878081395348826,0.00028036500802568215,0.00017940842832469775,0.000343831280110117,7.346288762122076e-05,9.517680795155947e-05,14.853026752814735
34,716.8411,428.0883,428.0883,0.1550918199356913,0.007819679144385026,0.0,0.001997842131228416,0.0,0.0006274623929532665,0.0003695086173081638,0.0,0.0,0.0,5.039723228995057e-05,0.0,0.0,0.0,0.0,0.0,1.0658252678338123,1.6970608879222109,0.14138793504666922,0.17272640386061672,0.03607366221562809,0.029918938465340418,0.01695697981651376,0.006571486875529211,0.001956385823938594,0.0,0.0007236181263923086,0.0,0.00028036500802568215,0.0,0.00022922085340674466,0.00022038866286366225,0.0,13.710486233367448
35,744.7006,418.7839,418.7839,0.2067890932475884,0.04691807486631015,0.003880283052351375,0.0059935263936852475,0.001119174809541651,0.0,0.0011085258519244914,0.0006490194979079498,0.0002575388111888112,0.0,0.0,3.1250126991456936e-05,0.0,2.528329134218965e-05,0.0,0.0,4.522555866213744,1.6970608879222109,0.2120819025700038,0.17272640386061672,0.07214732443125618,0.01994595897689361,0.0,0.009857230313293816,0.00978192911969297,0.0,0.0014472362527846172,0.001376342441860465,0.0011214600321027286,0.000717633713298791,0.00022922085340674466,7.346288762122076e-05,4.7588403975779734e-05,44.93992709825997
36,774.6263,396.3266,396.3266,0.1550918199356913,0.03909839572192513,0.0155211322094055,0.003995684262456832,0.002238349619083302,0.002509849571813066,0.0,0.00021633983263598326,0.0002575388111888112,0.00016027142924086223,0.0,0.0,3.99184688441047e-05,0.0,8.003536346218867e-06,5.251547984425103e-06,21.37411753331591,2.468452200614125,0.6362457077100114,0.20727168463274004,0.03607366221562809,0.0,0.011304653211009173,0.006571486875529211,0.0058691574718157825,0.0,0.0,0.0009175616279069765,0.00028036500802568215,0.0,0.0,7.346288762122076e-05,9.517680795155947e-05,197.6595098643807
37,803.7034,294.1364,294.1364,0.17232424437299032,0.031278716577540104,0.02328169831410825,0.003995684262456832,0.001119174809541651,0.001254924785906533,0.0,0.0,0.0,8.013571462043111e-05,5.039723228995057e-05,0.0,3.99184688441047e-05,0.0,0.0,0.0,297.3364436373138,2.468452200614125,0.7069396752333461,0.10363584231637002,0.10822098664688427,0.029918938465340418,0.0,0.0032857434377646056,0.0,0.0,0.0007236181263923086,0.001376342441860465,0.0005607300160513643,0.0003588168566493955,0.00011461042670337233,0.00022038866286366225,0.0001427652119273392,2641.5536809621285
38,835.9958,233.2588,233.2588,0.3101836398713826,0.023459037433155076,0.00776056610470275,0.0059935263936852475,0.002238349619083302,0.0006274623929532665,0.0007390172346163276,0.0004326796652719665,0.0002575388111888112,0.0,0.0,3.1250126991456936e-05,0.0,1.2641645671094825e-05,0.0,5.251547984425103e-06,0.11522435327933106,4.011234825997953,0.4241638051400076,0.10363584231637002,0.03607366221562809,0.03989191795378722,0.0,0.006571486875529211,0.001956385823938594,0.009446333254325671,0.0,0.0009175616279069765,0.00028036500802568215,0.0,0.0005730521335168616,0.0,0.0,9.140324155578298
39,867.3816,213.5514,213.5514,0.4135781864951768,0.05473775401069518,0.00776056610470275,0.001997842131228416,0.001119174809541651,0.0006274623929532665,0.0,0.00021633983263598326,0.0002575388111888112,8.013571462043111e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8569565634595704,0.7069396752333461,0.2418169654048634,0.09018415553907022,0.01994595897689361,0.011304653211009173,0.006571486875529211,0.0058691574718157825,0.0,0.0,0.0009175616279069765,0.0008410950240770464,0.00017940842832469775,0.0,0.00022038866286366225,4.7588403975779734e-05,1.1425405194472873
40,902.2393,220.7766,220.7766,0.8271563729903536,0.10947550802139036,0.027161981366459625,0.001997842131228416,0.004476699238166604,0.001254924785906533,0.0007390172346163276,0.0012980389958158996,0.0002575388111888112,8.013571462043111e-05,0.00010079446457990114,6.250025398291387e-05,0.0,0.0,0.0,0.0,0.0,8.176747914534289,0.9190215778033499,0.17272640386061672,0.05411049332344214,0.03989191795378722,0.005652326605504587,0.013142973751058423,0.003912771647877188,0.009446333254325671,0.002170854379176926,0.001376342441860465,0.0,0.0,0.00022922085340674466,0.00022038866286366225,4.7588403975779734e-05,0.7616936796315249
41,937.2962,158.5095,158.5095,1.7921721414790994,0.12511486631016042,0.02328169831410825,0.007991368524913663,0.001119174809541651,0.0006274623929532665,0.0014780344692326552,0.00021633983263598326,0.0010301552447552448,8.013571462043111e-05,0.00010079446457990114,9.375038097437081e-05,1.995923442205235e-05,1.2641645671094825e-05,0.0,1.0503095968850206e-05,0.028806088319832765,16.97060887922211,0.5655517401866769,0.06909056154424668,0.05411049332344214,0.03989191795378722,0.0,0.006571486875529211,0.001956385823938594,0.0,0.0007236181263923086,0.0,0.00028036500802568215,0.00017940842832469775,0.0,0.000293851550484883,4.7588403975779734e-05,0.7616936796315249
42,973.7182,127.0987,127.0987,25.590150289389065,0.10947550802139036,0.031042264418811,0.011987052787370495,0.004476699238166604,0.001254924785906533,0.0011085258519244914,0.0006490194979079498,0.0,0.00024040714386129334,0.0,6.250025398291387e-05,0.0,1.2641645671094825e-05,8.003536346218867e-06,5.251547984425103e-06,0.0,228.7946633444217,1.5552672855133614,0.37999808849335676,0.09018415553907022,0.03989191795378722,0.022609306422018347,0.013142973751058423,0.003912771647877188,0.0,0.0014472362527846172,0.0009175616279069765,0.00028036500802568215,0.0005382252849740932,0.000343831280110117,0.0001469257752424415,0.00019035361590311894,0.7616936796315249
